I,V,R,P,mAh,wh,time,
0.0997,4.1632,41.7715,0.4149,34.8024,0.1456,   0:20:59,
0.0997,4.1631,41.7669,0.4150,34.9276,0.1461,   0:21: 3,
0.0997,4.1630,41.7724,0.4149,35.0522,0.1467,   0:21: 8,
0.0996,4.1629,41.7982,0.4146,35.1768,0.1472,   0:21:12,
0.0996,4.1628,41.8039,0.4145,35.3015,0.1477,   0:21:17,
0.0997,4.1626,41.7656,0.4149,35.4272,0.1482,   0:21:21,
0.0996,4.1625,41.8077,0.4144,35.5519,0.1487,   0:21:26,
0.0996,4.1624,41.8103,0.4144,35.6765,0.1493,   0:21:30,
0.0996,4.1622,41.7852,0.4146,35.8011,0.1498,   0:21:35,
0.0995,4.1621,41.8379,0.4141,35.9256,0.1503,   0:21:39,
0.0997,4.1620,41.7628,0.4148,36.0502,0.1508,   0:21:44,
0.0996,4.1619,41.7818,0.4146,36.1749,0.1513,   0:21:48,
0.0995,4.1618,41.8175,0.4142,36.2995,0.1518,   0:21:53,
0.0997,4.1616,41.7455,0.4149,36.4247,0.1524,   0:21:57,
0.0996,4.1615,41.7747,0.4146,36.5494,0.1529,   0:22: 2,
0.0997,4.1614,41.7601,0.4147,36.6741,0.1534,   0:22: 6,
0.0997,4.1612,41.7517,0.4147,36.7987,0.1539,   0:22:11,
0.0996,4.1611,41.7675,0.4146,36.9234,0.1544,   0:22:15,
0.0996,4.1611,41.7800,0.4144,37.0481,0.1550,   0:22:20,
0.0996,4.1609,41.7785,0.4144,37.1737,0.1555,   0:22:25,
0.0997,4.1608,41.7337,0.4148,37.2990,0.1560,   0:22:29,
0.0996,4.1607,41.7728,0.4144,37.4236,0.1565,   0:22:34,
0.0997,4.1606,41.7516,0.4146,37.5482,0.1570,   0:22:38,
0.0997,4.1604,41.7469,0.4146,37.6728,0.1576,   0:22:43,
0.0995,4.1604,41.7966,0.4141,37.7980,0.1581,   0:22:47,
0.0996,4.1602,41.7848,0.4142,37.9226,0.1586,   0:22:52,
0.0997,4.1601,41.7398,0.4146,38.0474,0.1591,   0:22:56,
0.0996,4.1600,41.7657,0.4143,38.1724,0.1596,   0:23: 1,
0.0996,4.1598,41.7745,0.4142,38.2987,0.1602,   0:23: 5,
0.0995,4.1597,41.7935,0.4140,38.4234,0.1607,   0:23:10,
0.0996,4.1596,41.7720,0.4142,38.5480,0.1612,   0:23:14,
0.0996,4.1595,41.7609,0.4143,38.6726,0.1617,   0:23:19,
0.0997,4.1594,41.7330,0.4145,38.7972,0.1622,   0:23:23,
